,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
33,33,2022-11-23 18:21:54+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Agent_Snark,"Michigan, USA",173,0,1
34,34,2022-11-23 18:21:00+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",SHERRIMAMA,USA,173,0,1
35,35,2022-11-23 18:14:15+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",dog_envier,Bay Area Special Economic Zone,173,0,1
36,36,2022-11-23 18:11:14+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",TheProspect,"Washington, D.C.",173,0,1
37,37,2022-11-23 18:05:29+00:00,"Echoes of Keating Five. 
Crytpo Eight are Reps. Emmer (R-MN), Donalds (R-FL), Auchincloss (D-MA), Davidson (R-OH), Ted Budd (R-NC), Soto (D-FL), Gottheimer (D-NJ), and Torres (D-NY). 
(Ted Budd was just elected to U.S. Senate, ooops.) https://t.co/P5aVPu2HAS",ProfJAParker,,0,1,0
38,38,2022-11-23 18:02:13+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",mattman1624,Bay Area,173,0,1
39,39,2022-11-23 17:50:20+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Jadelia,"Maine, USA",173,0,1
40,40,2022-11-23 17:47:13+00:00,@RudyHavenstein Ted Budd is super slimy too.,forexlliott,"Was Florida, USA",0,0,0
41,41,2022-11-23 17:47:12+00:00,"RT @RudyHavenstein: ""Some of the “Blockchain 8”...benefited from crypto largesse. Five of the eight members received campaign donations fro…",VictorTheClean3,,8,0,0
42,42,2022-11-23 17:46:21+00:00,"""Some of the “Blockchain 8”...benefited from crypto largesse. Five of the eight members received campaign donations from FTX employees...Rep. Ted Budd (R-NC)...received half a million dollars in support from a Super PAC created by FTX co-CEO Ryan Salame.""

https://t.co/ZSLGoZubPc https://t.co/hxJaAVOrZb",RudyHavenstein,Behind the boathouse,8,22,0
43,43,2022-11-23 17:34:53+00:00,"Bi-partisanship: Reps. Tom Emmer (MN), Warren Davidson (OH), Byron Donalds (FL), and Ted Budd (NC) for the Republicans; Reps. Josh Gottheimer (NJ), Jake Auchincloss (MA), Ritchie Torres (NY), and Darren Soto (FL) for the Democrats.
https://t.co/djic0HeKay",kcvearner,21st Century,0,0,0
44,44,2022-11-23 17:33:05+00:00,"RT @underoak: #ncpol 

Rep. Ted Budd is named as one of the eight.

Note that Sen. Tillis also wrote a letter protecting crypto from regula…",JamesBazan,"Charlotte, NC",5,0,0
45,45,2022-11-23 17:27:56+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",C_Heldenstein,Luxembourg,173,0,1
46,46,2022-11-23 17:27:53+00:00,"Thomas Emmer (R-MN)
Byron Donalds (R-FL)
Warren Davidson (R-OH) 
Ted Budd (R-NC) 
Jake Auchincloss (D-MA) 
Darren Soto (D-FL), 
Josh Gottheimer (D-NJ)
Ritchie Torres (D-NY)

Burn them down. https://t.co/PpUgqBgffR",danablankenhorn,"Atlanta, Georgia",0,0,0
47,47,2022-11-23 17:19:23+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",BFSCR,Houston,173,0,1
48,48,2022-11-23 17:14:28+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",mathvink,SoCal,173,0,1
49,49,2022-11-23 17:12:02+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",DianeEugenio,"Florida, USA",173,0,1
50,50,2022-11-23 17:05:36+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",PingreestanME,NC ➡️ Maine ,26,0,0
51,51,2022-11-23 17:05:16+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",KINGTRUMPUSLIAR,RIDEN WITH🌍BIDEN/KAMALA🐱,173,0,1
52,52,2022-11-23 16:55:20+00:00,"RT @_FoggyDew: #BlockchainEight donations from FTX 

Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R -NC), Darren So…",jross252,,4,0,0
53,53,2022-11-23 16:53:41+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",KRZ2068,"Ojai, CA",173,0,1
54,54,2022-11-23 16:51:10+00:00,"RT @_FoggyDew: #BlockchainEight donations from FTX 

Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R -NC), Darren So…",88Lucien88,Blue Earth,4,0,0
55,55,2022-11-23 16:50:52+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",NeedhiBhalla,,173,0,1
56,56,2022-11-23 16:50:40+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Izandra,Gabrielino-Tongva land,173,0,1
57,57,2022-11-23 16:49:54+00:00,"#BlockchainEight donations from FTX 

Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R -NC), Darren Soto (D-FL), Josh Gottheimer (D-NJ), &amp; Ritchie Torres (D-NY). 

Coinbase has also contributed to members of the Blockchain Eight.https://t.co/J2k0m9Qgb0",_FoggyDew,"California, USA",4,3,1
58,58,2022-11-23 16:47:32+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",ItsCarlosSoto,San Antonio/Corpus Christi,26,0,0
59,59,2022-11-23 16:44:12+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",therealpatkane,"Ohio, USA",68,0,0
60,60,2022-11-23 16:39:48+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",kristiwelshies,,173,0,1
61,61,2022-11-23 16:37:55+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",BostonSister,Boston-ish,173,0,1
62,62,2022-11-23 16:36:02+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",woc4bernie3,,68,0,0
63,63,2022-11-23 16:34:56+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",BukiWilliams,NYC. via London,173,0,1
64,64,2022-11-23 16:27:13+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",karen_elder,"New Mexico, USA",173,0,1
65,65,2022-11-23 16:25:24+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",jeffemera,"New York, NY",173,0,1
66,66,2022-11-23 16:21:44+00:00,People tryin to act like that’s Ted Budd when it’s OBVIOUSLY Wiley Nickel https://t.co/ovfGj0POef,PingreestanME,NC ➡️ Maine ,1,8,1
67,67,2022-11-23 16:18:45+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",NCPolitics2020,The good roads state,26,0,0
68,68,2022-11-23 16:12:55+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",TechmemeChatter,"San Francisco, CA",68,0,0
69,69,2022-11-23 16:12:13+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",TechmemeChatter,"San Francisco, CA",173,0,1
70,70,2022-11-23 15:49:49+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",ntorok4,"McKeesport, PA",26,0,0
71,71,2022-11-23 15:49:44+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",DrewSav,"Fayetteville, NC",26,0,0
72,72,2022-11-23 15:49:09+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",OregonMapGuy,"Carbondale, IL",26,0,0
73,73,2022-11-23 15:40:53+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",chrishulan,"Ottawa, Ontario, Canada",173,0,1
74,74,2022-11-23 15:39:58+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",nsamuellnorman,,173,0,1
75,75,2022-11-23 15:39:49+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",evenbev,Minnesota,173,0,1
76,76,2022-11-23 15:27:44+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",starmediaguy,Rocky Mountains. ,173,0,1
77,77,2022-11-23 15:27:36+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",adriaeln,,26,0,0
78,78,2022-11-23 15:26:00+00:00,"@ddayen @nickconfessore @TheProspect Is this Ted Budd NC? No first reference.

Budd received half a million dollars in support from a Super PAC created by FTX co-CEO Ryan Salame.",colleen_cgcharm,"North Carolina, USA",0,0,1
79,79,2022-11-23 15:24:53+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",suppertime,"Somewhere, probably. ",68,0,0
80,80,2022-11-23 15:24:05+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",awoaca,"St Louis, MO",173,0,1
81,81,2022-11-23 15:23:44+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",misusamaad,Jungleland,68,0,0
82,82,2022-11-23 15:23:35+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",max____headroom,Space,173,0,1
83,83,2022-11-23 15:22:53+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",TommieStephsYO,"Chicago, IL",173,0,1
84,84,2022-11-23 15:22:50+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",KYEducator2018,KY,173,0,1
85,85,2022-11-23 15:21:52+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",harpersnotes,"Mount Redoubt, Alaska USA",173,0,1
86,86,2022-11-23 15:19:30+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",SilverTWhite44,,26,0,0
87,87,2022-11-23 15:19:27+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",NamelessGhoulTX,Behind you,173,0,1
88,88,2022-11-23 15:18:47+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",schwanderer,Left of Center,173,0,1
89,89,2022-11-23 15:18:05+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",tencor_7144,"New Jersey, CD-06, LD-18",26,0,0
90,90,2022-11-23 15:17:43+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",ry3564,"London, England",173,0,1
91,91,2022-11-23 15:17:32+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",deathnoteb,"Las Vegas, Nevada",173,0,1
92,92,2022-11-23 15:16:49+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",hypertonic_,"Karachi, Pakistan",173,0,1
93,93,2022-11-23 15:15:39+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Yedois,North Carolina,173,0,1
94,94,2022-11-23 15:15:34+00:00,"RT @underoak: #ncpol 

Rep. Ted Budd is named as one of the eight.

Note that Sen. Tillis also wrote a letter protecting crypto from regula…",Yedois,North Carolina,5,0,0
95,95,2022-11-23 15:12:53+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Timeo_Danaos,@timeo_danaos@mastodon.online,173,0,1
96,96,2022-11-23 15:12:19+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",UniteCarolina,"Boone, North Carolina",26,0,0
97,97,2022-11-23 15:12:02+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",saletan,"Washington, DC",173,0,1
98,98,2022-11-23 15:11:04+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",InvariantPersp1,,173,0,1
99,99,2022-11-23 15:09:37+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",minter01,"Charlotte, NC",173,0,1
100,0,2022-11-23 23:42:03+00:00,"@PamKeithFL I'm not even going to get started on NC. NC had a prime opportunity to elect someone with decency and intelligence. But no, what did NC do? Voted for this clown Ted Budd. That's whack is crap.",barrywwhite77,"Charlotte, NC",0,0,0
101,1,2022-11-23 23:30:42+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",JoshIsWoke1,Rigging Elections @ DNC HQ,26,0,0
102,2,2022-11-23 23:30:39+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",AyrtonSci,,26,0,0
103,3,2022-11-23 22:09:20+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",JJManring,"Minneapolis, MN",173,0,1
104,4,2022-11-23 21:50:05+00:00,"RT @CheriBeasleyNC: Today, Congressman Ted Budd is campaigning with Rick Scott – and he supports his plan to sunset Social Security and Med…",BoBo10322,"South Carolina, USA",1907,0,1
105,5,2022-11-23 21:42:12+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",julepandme,"Wichita, KS",173,0,1
106,6,2022-11-23 21:33:37+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",kokoswatching,,173,0,1
107,7,2022-11-23 21:22:15+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",rhoyou,Melbourne Australia,173,0,1
108,8,2022-11-23 21:10:46+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Kimsadem,"Tucson, AZ",173,0,1
109,9,2022-11-23 21:03:27+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",CapitalistFool,,173,0,1
110,10,2022-11-23 20:57:47+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",_LOVEINVAIN,,173,0,1
111,11,2022-11-23 20:35:13+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",CurveWhiplash,"Eureka, CA",173,0,1
112,12,2022-11-23 20:20:00+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",cowboy_texan321,Republic of Texas,26,0,0
113,13,2022-11-23 20:16:00+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Eilonwy24,Oregon,173,0,1
114,14,2022-11-23 19:58:32+00:00,David Sacks held a high-dollar fundraising event for Ted Budd in September with old PayPal Mafia buddy Keith Rabois &amp; his husband Jacob Helberg: https://t.co/CfZqjHmRUT https://t.co/BhV4XUncQq,jessecrall,Los Angeles,0,2,1
115,15,2022-11-23 19:52:42+00:00,"In 2028, come his re-election, Ted Budd is gonna be out for that Ted Bludd",SunBeltPolitics,John McCain's Hairline,0,19,0
116,16,2022-11-23 19:51:33+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",rebels2008,"Texas and Washington, D.C.",26,0,0
117,17,2022-11-23 19:47:52+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",JackSimermeyer,MN/WA/OR,26,0,0
118,18,2022-11-23 19:40:59+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",redG2pen,WA-02,26,0,0
119,19,2022-11-23 19:36:44+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",unclemuley,"Kansas, USA",173,0,1
120,20,2022-11-23 19:27:44+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",MassJumbo,"Massachusetts, USA",26,0,0
121,21,2022-11-23 19:23:17+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",rdthorsett,,173,0,1
122,22,2022-11-23 19:21:08+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",dollymad1812,America the Beautiful,173,0,1
123,23,2022-11-23 19:08:26+00:00,@ddayen How was this not pressed against Ted Budd's Senate candidacy this year? Did the Dems just do zero oppo research in NC?,srsjeff,California,0,2,0
124,24,2022-11-23 18:55:49+00:00,"Republicans need fewer candidates like Don Bolduc, Herschel Walker, and Mehmet Oz and more candidates like Ted Budd, Pat Toomey, and Brian Kemp.",DeclanMHurley,"North Carolina, USA",0,7,0
125,25,2022-11-23 18:47:00+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",etoileluna77,,173,0,1
